LogisticRegression
{'train': {'accuracy': 0.5829, 'accuracy_weighted': 0.4912, 'f1_score_macro': 0.439, 'f1_score_weighted': 0.5359}, 'val': {'accuracy': 0.5804, 'accuracy_weighted': 0.4868, 'f1_score_macro': 0.4244, 'f1_score_weighted': 0.5262}}
{'train': {'accuracy': 0.9449, 'accuracy_weighted': 0.9425, 'f1_score_macro': 0.9139, 'f1_score_weighted': 0.9429}, 'val': {'accuracy': 0.6602, 'accuracy_weighted': 0.6413, 'f1_score_macro': 0.5543, 'f1_score_weighted': 0.6495}}
{'train': {'accuracy': 0.9458, 'accuracy_weighted': 0.9437, 'f1_score_macro': 0.9169, 'f1_score_weighted': 0.9445}, 'val': {'accuracy': 0.683, 'accuracy_weighted': 0.6691, 'f1_score_macro': 0.5894, 'f1_score_weighted': 0.6735}}
{'train': {'accuracy': 0.9458, 'accuracy_weighted': 0.9506, 'f1_score_macro': 0.9187, 'f1_score_weighted': 0.9448}, 'val': {'accuracy': 0.6659, 'accuracy_weighted': 0.6314, 'f1_score_macro': 0.5428, 'f1_score_weighted': 0.6528}}
{'train': {'accuracy': 0.9438, 'accuracy_weighted': 0.9408, 'f1_score_macro': 0.9136, 'f1_score_weighted': 0.9422}, 'val': {'accuracy': 0.6739, 'accuracy_weighted': 0.6514, 'f1_score_macro': 0.5615, 'f1_score_weighted': 0.659}}
{'train': {'accuracy': 0.9461, 'accuracy_weighted': 0.9472, 'f1_score_macro': 0.9175, 'f1_score_weighted': 0.9445}, 'val': {'accuracy': 0.6579, 'accuracy_weighted': 0.625, 'f1_score_macro': 0.5433, 'f1_score_weighted': 0.6456}}
{'train': {'accuracy': 0.9427, 'accuracy_weighted': 0.9458, 'f1_score_macro': 0.9132, 'f1_score_weighted': 0.9414}, 'val': {'accuracy': 0.6613, 'accuracy_weighted': 0.6303, 'f1_score_macro': 0.5583, 'f1_score_weighted': 0.6513}}
{'train': {'accuracy': 0.9486, 'accuracy_weighted': 0.9497, 'f1_score_macro': 0.9188, 'f1_score_weighted': 0.9469}, 'val': {'accuracy': 0.6511, 'accuracy_weighted': 0.6243, 'f1_score_macro': 0.5483, 'f1_score_weighted': 0.6372}}
{'train': {'accuracy': 0.9458, 'accuracy_weighted': 0.9472, 'f1_score_macro': 0.9158, 'f1_score_weighted': 0.9444}, 'val': {'accuracy': 0.6556, 'accuracy_weighted': 0.6317, 'f1_score_macro': 0.5499, 'f1_score_weighted': 0.6398}}
{'train': {'accuracy': 0.9464, 'accuracy_weighted': 0.9474, 'f1_score_macro': 0.918, 'f1_score_weighted': 0.9454}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6356, 'f1_score_macro': 0.5559, 'f1_score_weighted': 0.6432}}
{'train': {'accuracy': 0.9444, 'accuracy_weighted': 0.9431, 'f1_score_macro': 0.9149, 'f1_score_weighted': 0.9428}, 'val': {'accuracy': 0.6819, 'accuracy_weighted': 0.662, 'f1_score_macro': 0.578, 'f1_score_weighted': 0.673}}

LightGBMClassification
{'train': {'accuracy': 0.8428, 'accuracy_weighted': 0.8228, 'f1_score_macro': 0.7998, 'f1_score_weighted': 0.8397}, 'val': {'accuracy': 0.6602, 'accuracy_weighted': 0.6236, 'f1_score_macro': 0.5775, 'f1_score_weighted': 0.6519}}
{'train': {'accuracy': 0.8439, 'accuracy_weighted': 0.8206, 'f1_score_macro': 0.804, 'f1_score_weighted': 0.8409}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.6613, 'f1_score_macro': 0.5816, 'f1_score_weighted': 0.6694}}
{'train': {'accuracy': 0.8391, 'accuracy_weighted': 0.8239, 'f1_score_macro': 0.8004, 'f1_score_weighted': 0.8368}, 'val': {'accuracy': 0.7024, 'accuracy_weighted': 0.6693, 'f1_score_macro': 0.6031, 'f1_score_weighted': 0.6903}}
{'train': {'accuracy': 0.8451, 'accuracy_weighted': 0.8287, 'f1_score_macro': 0.8072, 'f1_score_weighted': 0.8426}, 'val': {'accuracy': 0.6693, 'accuracy_weighted': 0.6303, 'f1_score_macro': 0.5711, 'f1_score_weighted': 0.6612}}
{'train': {'accuracy': 0.8439, 'accuracy_weighted': 0.8234, 'f1_score_macro': 0.8048, 'f1_score_weighted': 0.8416}, 'val': {'accuracy': 0.6693, 'accuracy_weighted': 0.6526, 'f1_score_macro': 0.5927, 'f1_score_weighted': 0.6646}}
{'train': {'accuracy': 0.8445, 'accuracy_weighted': 0.8252, 'f1_score_macro': 0.8081, 'f1_score_weighted': 0.8422}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6259, 'f1_score_macro': 0.5703, 'f1_score_weighted': 0.6498}}
{'train': {'accuracy': 0.8499, 'accuracy_weighted': 0.8334, 'f1_score_macro': 0.8177, 'f1_score_weighted': 0.8484}, 'val': {'accuracy': 0.6534, 'accuracy_weighted': 0.6221, 'f1_score_macro': 0.5678, 'f1_score_weighted': 0.652}}
{'train': {'accuracy': 0.8445, 'accuracy_weighted': 0.8299, 'f1_score_macro': 0.8058, 'f1_score_weighted': 0.8421}, 'val': {'accuracy': 0.6796, 'accuracy_weighted': 0.6453, 'f1_score_macro': 0.5897, 'f1_score_weighted': 0.6715}}
{'train': {'accuracy': 0.8516, 'accuracy_weighted': 0.8344, 'f1_score_macro': 0.8119, 'f1_score_weighted': 0.8493}, 'val': {'accuracy': 0.6534, 'accuracy_weighted': 0.6186, 'f1_score_macro': 0.5748, 'f1_score_weighted': 0.6419}}
{'train': {'accuracy': 0.8474, 'accuracy_weighted': 0.8297, 'f1_score_macro': 0.8134, 'f1_score_weighted': 0.8456}, 'val': {'accuracy': 0.6579, 'accuracy_weighted': 0.6331, 'f1_score_macro': 0.5692, 'f1_score_weighted': 0.6538}}

RandomForestClassification
{'train': {'accuracy': 0.9435, 'accuracy_weighted': 0.9483, 'f1_score_macro': 0.9152, 'f1_score_weighted': 0.9423}, 'val': {'accuracy': 0.6613, 'accuracy_weighted': 0.6261, 'f1_score_macro': 0.5426, 'f1_score_weighted': 0.6524}}
{'train': {'accuracy': 0.9441, 'accuracy_weighted': 0.947, 'f1_score_macro': 0.9136, 'f1_score_weighted': 0.9424}, 'val': {'accuracy': 0.6625, 'accuracy_weighted': 0.6243, 'f1_score_macro': 0.5665, 'f1_score_weighted': 0.6549}}
{'train': {'accuracy': 0.9438, 'accuracy_weighted': 0.9413, 'f1_score_macro': 0.913, 'f1_score_weighted': 0.942}, 'val': {'accuracy': 0.6705, 'accuracy_weighted': 0.6585, 'f1_score_macro': 0.5637, 'f1_score_weighted': 0.6583}}
{'train': {'accuracy': 0.9475, 'accuracy_weighted': 0.9468, 'f1_score_macro': 0.9198, 'f1_score_weighted': 0.9463}, 'val': {'accuracy': 0.667, 'accuracy_weighted': 0.6512, 'f1_score_macro': 0.5596, 'f1_score_weighted': 0.6541}}
{'train': {'accuracy': 0.9447, 'accuracy_weighted': 0.9438, 'f1_score_macro': 0.9152, 'f1_score_weighted': 0.9432}, 'val': {'accuracy': 0.6967, 'accuracy_weighted': 0.6849, 'f1_score_macro': 0.5802, 'f1_score_weighted': 0.6806}}
{'train': {'accuracy': 0.9461, 'accuracy_weighted': 0.9441, 'f1_score_macro': 0.9192, 'f1_score_weighted': 0.9451}, 'val': {'accuracy': 0.6602, 'accuracy_weighted': 0.6425, 'f1_score_macro': 0.5558, 'f1_score_weighted': 0.6515}}
{'train': {'accuracy': 0.9447, 'accuracy_weighted': 0.9519, 'f1_score_macro': 0.9143, 'f1_score_weighted': 0.9438}, 'val': {'accuracy': 0.6727, 'accuracy_weighted': 0.6317, 'f1_score_macro': 0.5688, 'f1_score_weighted': 0.6553}}
{'train': {'accuracy': 0.9452, 'accuracy_weighted': 0.943, 'f1_score_macro': 0.916, 'f1_score_weighted': 0.9437}, 'val': {'accuracy': 0.6956, 'accuracy_weighted': 0.6831, 'f1_score_macro': 0.5882, 'f1_score_weighted': 0.684}}
{'train': {'accuracy': 0.9481, 'accuracy_weighted': 0.9501, 'f1_score_macro': 0.9213, 'f1_score_weighted': 0.947}, 'val': {'accuracy': 0.6784, 'accuracy_weighted': 0.6497, 'f1_score_macro': 0.5662, 'f1_score_weighted': 0.6679}}
{'train': {'accuracy': 0.9481, 'accuracy_weighted': 0.9539, 'f1_score_macro': 0.9194, 'f1_score_weighted': 0.9466}, 'val': {'accuracy': 0.6625, 'accuracy_weighted': 0.6259, 'f1_score_macro': 0.556, 'f1_score_weighted': 0.648}}

XGBoostClassification
{'train': {'accuracy': 0.8559, 'accuracy_weighted': 0.8318, 'f1_score_macro': 0.81, 'f1_score_weighted': 0.8515}, 'val': {'accuracy': 0.6693, 'accuracy_weighted': 0.634, 'f1_score_macro': 0.5874, 'f1_score_weighted': 0.6583}}
{'train': {'accuracy': 0.8562, 'accuracy_weighted': 0.8328, 'f1_score_macro': 0.8114, 'f1_score_weighted': 0.8513}, 'val': {'accuracy': 0.6944, 'accuracy_weighted': 0.6676, 'f1_score_macro': 0.5955, 'f1_score_weighted': 0.6854}}
{'train': {'accuracy': 0.8616, 'accuracy_weighted': 0.8384, 'f1_score_macro': 0.8226, 'f1_score_weighted': 0.8578}, 'val': {'accuracy': 0.6739, 'accuracy_weighted': 0.656, 'f1_score_macro': 0.5808, 'f1_score_weighted': 0.6681}}
{'train': {'accuracy': 0.8633, 'accuracy_weighted': 0.8422, 'f1_score_macro': 0.8216, 'f1_score_weighted': 0.8596}, 'val': {'accuracy': 0.667, 'accuracy_weighted': 0.6376, 'f1_score_macro': 0.5768, 'f1_score_weighted': 0.6553}}
{'train': {'accuracy': 0.8571, 'accuracy_weighted': 0.8315, 'f1_score_macro': 0.8103, 'f1_score_weighted': 0.8524}, 'val': {'accuracy': 0.6921, 'accuracy_weighted': 0.6731, 'f1_score_macro': 0.598, 'f1_score_weighted': 0.6835}}
{'train': {'accuracy': 0.8625, 'accuracy_weighted': 0.8436, 'f1_score_macro': 0.8207, 'f1_score_weighted': 0.858}, 'val': {'accuracy': 0.6887, 'accuracy_weighted': 0.647, 'f1_score_macro': 0.5907, 'f1_score_weighted': 0.681}}
{'train': {'accuracy': 0.8573, 'accuracy_weighted': 0.8315, 'f1_score_macro': 0.8168, 'f1_score_weighted': 0.8538}, 'val': {'accuracy': 0.675, 'accuracy_weighted': 0.6479, 'f1_score_macro': 0.5891, 'f1_score_weighted': 0.6674}}
{'train': {'accuracy': 0.8596, 'accuracy_weighted': 0.8319, 'f1_score_macro': 0.8171, 'f1_score_weighted': 0.8555}, 'val': {'accuracy': 0.6648, 'accuracy_weighted': 0.6393, 'f1_score_macro': 0.5746, 'f1_score_weighted': 0.6558}}
{'train': {'accuracy': 0.8528, 'accuracy_weighted': 0.8254, 'f1_score_macro': 0.8092, 'f1_score_weighted': 0.849}, 'val': {'accuracy': 0.6944, 'accuracy_weighted': 0.677, 'f1_score_macro': 0.6092, 'f1_score_weighted': 0.6817}}
{'train': {'accuracy': 0.8548, 'accuracy_weighted': 0.8248, 'f1_score_macro': 0.8087, 'f1_score_weighted': 0.8497}, 'val': {'accuracy': 0.6739, 'accuracy_weighted': 0.6473, 'f1_score_macro': 0.587, 'f1_score_weighted': 0.6661}}

XGBoostClassification
{'train': {'accuracy': 0.8545, 'accuracy_weighted': 0.8301, 'f1_score_macro': 0.8098, 'f1_score_weighted': 0.85}, 'val': {'accuracy': 0.6921, 'accuracy_weighted': 0.6623, 'f1_score_macro': 0.5847, 'f1_score_weighted': 0.6791}}
{'train': {'accuracy': 0.8608, 'accuracy_weighted': 0.8397, 'f1_score_macro': 0.8181, 'f1_score_weighted': 0.857}, 'val': {'accuracy': 0.7001, 'accuracy_weighted': 0.669, 'f1_score_macro': 0.6174, 'f1_score_weighted': 0.6938}}
{'train': {'accuracy': 0.8571, 'accuracy_weighted': 0.8331, 'f1_score_macro': 0.8119, 'f1_score_weighted': 0.8524}, 'val': {'accuracy': 0.6921, 'accuracy_weighted': 0.664, 'f1_score_macro': 0.5974, 'f1_score_weighted': 0.6807}}
{'train': {'accuracy': 0.865, 'accuracy_weighted': 0.8449, 'f1_score_macro': 0.8218, 'f1_score_weighted': 0.8609}, 'val': {'accuracy': 0.6944, 'accuracy_weighted': 0.6615, 'f1_score_macro': 0.6037, 'f1_score_weighted': 0.6856}}
{'train': {'accuracy': 0.8568, 'accuracy_weighted': 0.8336, 'f1_score_macro': 0.8104, 'f1_score_weighted': 0.852}, 'val': {'accuracy': 0.7013, 'accuracy_weighted': 0.6709, 'f1_score_macro': 0.603, 'f1_score_weighted': 0.6887}}
{'train': {'accuracy': 0.8633, 'accuracy_weighted': 0.8411, 'f1_score_macro': 0.8179, 'f1_score_weighted': 0.8584}, 'val': {'accuracy': 0.6933, 'accuracy_weighted': 0.6619, 'f1_score_macro': 0.6078, 'f1_score_weighted': 0.6838}}
{'train': {'accuracy': 0.8616, 'accuracy_weighted': 0.8397, 'f1_score_macro': 0.82, 'f1_score_weighted': 0.8579}, 'val': {'accuracy': 0.6842, 'accuracy_weighted': 0.6548, 'f1_score_macro': 0.58, 'f1_score_weighted': 0.6731}}
{'train': {'accuracy': 0.8636, 'accuracy_weighted': 0.8398, 'f1_score_macro': 0.8223, 'f1_score_weighted': 0.8595}, 'val': {'accuracy': 0.7035, 'accuracy_weighted': 0.6738, 'f1_score_macro': 0.6056, 'f1_score_weighted': 0.6943}}
{'train': {'accuracy': 0.8613, 'accuracy_weighted': 0.84, 'f1_score_macro': 0.8244, 'f1_score_weighted': 0.8586}, 'val': {'accuracy': 0.6876, 'accuracy_weighted': 0.6594, 'f1_score_macro': 0.5997, 'f1_score_weighted': 0.6802}}
{'train': {'accuracy': 0.8588, 'accuracy_weighted': 0.8371, 'f1_score_macro': 0.817, 'f1_score_weighted': 0.8547}, 'val': {'accuracy': 0.6762, 'accuracy_weighted': 0.645, 'f1_score_macro': 0.5902, 'f1_score_weighted': 0.6675}}

LightGBMClassification
{'train': {'accuracy': 0.8551, 'accuracy_weighted': 0.8379, 'f1_score_macro': 0.8176, 'f1_score_weighted': 0.8529}, 'val': {'accuracy': 0.6613, 'accuracy_weighted': 0.6285, 'f1_score_macro': 0.5567, 'f1_score_weighted': 0.6523}}
{'train': {'accuracy': 0.8516, 'accuracy_weighted': 0.8316, 'f1_score_macro': 0.8128, 'f1_score_weighted': 0.8491}, 'val': {'accuracy': 0.6853, 'accuracy_weighted': 0.6657, 'f1_score_macro': 0.5957, 'f1_score_weighted': 0.6788}}
{'train': {'accuracy': 0.8425, 'accuracy_weighted': 0.8214, 'f1_score_macro': 0.8043, 'f1_score_weighted': 0.8401}, 'val': {'accuracy': 0.7058, 'accuracy_weighted': 0.6835, 'f1_score_macro': 0.6183, 'f1_score_weighted': 0.6979}}
{'train': {'accuracy': 0.8536, 'accuracy_weighted': 0.8369, 'f1_score_macro': 0.8161, 'f1_score_weighted': 0.8513}, 'val': {'accuracy': 0.6568, 'accuracy_weighted': 0.6293, 'f1_score_macro': 0.5562, 'f1_score_weighted': 0.6471}}
{'train': {'accuracy': 0.8496, 'accuracy_weighted': 0.8308, 'f1_score_macro': 0.8085, 'f1_score_weighted': 0.8463}, 'val': {'accuracy': 0.7013, 'accuracy_weighted': 0.6748, 'f1_score_macro': 0.5982, 'f1_score_weighted': 0.69}}
{'train': {'accuracy': 0.8539, 'accuracy_weighted': 0.836, 'f1_score_macro': 0.8153, 'f1_score_weighted': 0.8514}, 'val': {'accuracy': 0.6591, 'accuracy_weighted': 0.6308, 'f1_score_macro': 0.5678, 'f1_score_weighted': 0.653}}
{'train': {'accuracy': 0.8459, 'accuracy_weighted': 0.8278, 'f1_score_macro': 0.8052, 'f1_score_weighted': 0.8429}, 'val': {'accuracy': 0.6921, 'accuracy_weighted': 0.6709, 'f1_score_macro': 0.6102, 'f1_score_weighted': 0.687}}
{'train': {'accuracy': 0.8539, 'accuracy_weighted': 0.8355, 'f1_score_macro': 0.815, 'f1_score_weighted': 0.8512}, 'val': {'accuracy': 0.6842, 'accuracy_weighted': 0.6577, 'f1_score_macro': 0.6, 'f1_score_weighted': 0.6777}}
{'train': {'accuracy': 0.8531, 'accuracy_weighted': 0.8339, 'f1_score_macro': 0.8163, 'f1_score_weighted': 0.8511}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6189, 'f1_score_macro': 0.5687, 'f1_score_weighted': 0.6476}}
{'train': {'accuracy': 0.8502, 'accuracy_weighted': 0.8309, 'f1_score_macro': 0.813, 'f1_score_weighted': 0.8479}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.6558, 'f1_score_macro': 0.5758, 'f1_score_weighted': 0.6688}}

RandomForestClassification
{'train': {'accuracy': 0.9458, 'accuracy_weighted': 0.9472, 'f1_score_macro': 0.9175, 'f1_score_weighted': 0.9445}, 'val': {'accuracy': 0.6648, 'accuracy_weighted': 0.6437, 'f1_score_macro': 0.5474, 'f1_score_weighted': 0.6497}}
{'train': {'accuracy': 0.9447, 'accuracy_weighted': 0.9459, 'f1_score_macro': 0.9159, 'f1_score_weighted': 0.9433}, 'val': {'accuracy': 0.6705, 'accuracy_weighted': 0.6566, 'f1_score_macro': 0.5728, 'f1_score_weighted': 0.6632}}
{'train': {'accuracy': 0.9449, 'accuracy_weighted': 0.9461, 'f1_score_macro': 0.9158, 'f1_score_weighted': 0.9434}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.623, 'f1_score_macro': 0.5305, 'f1_score_weighted': 0.6343}}
{'train': {'accuracy': 0.9438, 'accuracy_weighted': 0.9456, 'f1_score_macro': 0.9148, 'f1_score_weighted': 0.9426}, 'val': {'accuracy': 0.6762, 'accuracy_weighted': 0.6463, 'f1_score_macro': 0.5594, 'f1_score_weighted': 0.6605}}
{'train': {'accuracy': 0.9461, 'accuracy_weighted': 0.9479, 'f1_score_macro': 0.9187, 'f1_score_weighted': 0.945}, 'val': {'accuracy': 0.6705, 'accuracy_weighted': 0.6537, 'f1_score_macro': 0.5504, 'f1_score_weighted': 0.6563}}
{'train': {'accuracy': 0.9458, 'accuracy_weighted': 0.9469, 'f1_score_macro': 0.9171, 'f1_score_weighted': 0.9443}, 'val': {'accuracy': 0.6682, 'accuracy_weighted': 0.6355, 'f1_score_macro': 0.5665, 'f1_score_weighted': 0.6569}}
{'train': {'accuracy': 0.9429, 'accuracy_weighted': 0.9447, 'f1_score_macro': 0.9136, 'f1_score_weighted': 0.9417}, 'val': {'accuracy': 0.6727, 'accuracy_weighted': 0.6488, 'f1_score_macro': 0.5617, 'f1_score_weighted': 0.6606}}
{'train': {'accuracy': 0.9458, 'accuracy_weighted': 0.9477, 'f1_score_macro': 0.9187, 'f1_score_weighted': 0.9448}, 'val': {'accuracy': 0.6499, 'accuracy_weighted': 0.6163, 'f1_score_macro': 0.5336, 'f1_score_weighted': 0.6331}}
{'train': {'accuracy': 0.9455, 'accuracy_weighted': 0.9466, 'f1_score_macro': 0.9164, 'f1_score_weighted': 0.9441}, 'val': {'accuracy': 0.683, 'accuracy_weighted': 0.6564, 'f1_score_macro': 0.5901, 'f1_score_weighted': 0.6781}}
{'train': {'accuracy': 0.9449, 'accuracy_weighted': 0.9466, 'f1_score_macro': 0.9165, 'f1_score_weighted': 0.9437}, 'val': {'accuracy': 0.7035, 'accuracy_weighted': 0.6883, 'f1_score_macro': 0.585, 'f1_score_weighted': 0.6887}}

LogisticRegression
{'train': {'accuracy': 0.9407, 'accuracy_weighted': 0.9415, 'f1_score_macro': 0.9127, 'f1_score_weighted': 0.9397}, 'val': {'accuracy': 0.6773, 'accuracy_weighted': 0.6621, 'f1_score_macro': 0.574, 'f1_score_weighted': 0.6697}}
{'train': {'accuracy': 0.9364, 'accuracy_weighted': 0.9373, 'f1_score_macro': 0.9048, 'f1_score_weighted': 0.9351}, 'val': {'accuracy': 0.6602, 'accuracy_weighted': 0.6391, 'f1_score_macro': 0.5803, 'f1_score_weighted': 0.6569}}
{'train': {'accuracy': 0.9392, 'accuracy_weighted': 0.9392, 'f1_score_macro': 0.9085, 'f1_score_weighted': 0.9376}, 'val': {'accuracy': 0.6591, 'accuracy_weighted': 0.6532, 'f1_score_macro': 0.5713, 'f1_score_weighted': 0.6548}}
{'train': {'accuracy': 0.9361, 'accuracy_weighted': 0.9375, 'f1_score_macro': 0.9031, 'f1_score_weighted': 0.9345}, 'val': {'accuracy': 0.6842, 'accuracy_weighted': 0.6688, 'f1_score_macro': 0.5787, 'f1_score_weighted': 0.675}}
{'train': {'accuracy': 0.9355, 'accuracy_weighted': 0.9358, 'f1_score_macro': 0.9034, 'f1_score_weighted': 0.9339}, 'val': {'accuracy': 0.683, 'accuracy_weighted': 0.6699, 'f1_score_macro': 0.5846, 'f1_score_weighted': 0.6758}}
{'train': {'accuracy': 0.9344, 'accuracy_weighted': 0.9347, 'f1_score_macro': 0.901, 'f1_score_weighted': 0.9326}, 'val': {'accuracy': 0.6739, 'accuracy_weighted': 0.6591, 'f1_score_macro': 0.5814, 'f1_score_weighted': 0.6675}}
{'train': {'accuracy': 0.9367, 'accuracy_weighted': 0.9359, 'f1_score_macro': 0.9039, 'f1_score_weighted': 0.9346}, 'val': {'accuracy': 0.6773, 'accuracy_weighted': 0.6567, 'f1_score_macro': 0.5715, 'f1_score_weighted': 0.6681}}
{'train': {'accuracy': 0.9401, 'accuracy_weighted': 0.9409, 'f1_score_macro': 0.9101, 'f1_score_weighted': 0.9387}, 'val': {'accuracy': 0.6477, 'accuracy_weighted': 0.6376, 'f1_score_macro': 0.5604, 'f1_score_weighted': 0.6469}}
{'train': {'accuracy': 0.935, 'accuracy_weighted': 0.9354, 'f1_score_macro': 0.9045, 'f1_score_weighted': 0.9338}, 'val': {'accuracy': 0.6762, 'accuracy_weighted': 0.6596, 'f1_score_macro': 0.5769, 'f1_score_weighted': 0.6687}}
{'train': {'accuracy': 0.9375, 'accuracy_weighted': 0.9372, 'f1_score_macro': 0.9061, 'f1_score_weighted': 0.9358}, 'val': {'accuracy': 0.6636, 'accuracy_weighted': 0.6437, 'f1_score_macro': 0.573, 'f1_score_weighted': 0.6578}}

